year,age,mortality_sex_ratio
1915,83,1.15376
1915,84,1.22412
1915,85,1.21227
1915,86,1.22529
1915,87,1.10931
1915,88,1.17178
1915,89,1.26304
1915,90,1.25222
1915,91,1.13132
1915,92,1.10711
1915,93,1.15550
1915,94,1.20345
1915,95,1.21313
1915,96,1.31390
1915,97,0.97783
1915,98,1.46224
1915,99,0.84139
1915,100,1.24957
1916,0,1.30482
1916,1,1.07166
1916,2,1.07189
1916,3,1.06900
1916,4,0.99700
1916,5,1.01856
1916,6,1.06355
1916,7,1.04336
1916,8,1.02292
1916,9,1.13349
1916,10,1.04933
1916,11,1.08305
1916,12,1.00950
1916,13,0.89544
1916,14,0.95051
1916,15,1.02275
1916,16,1.93965
1916,17,5.57080
1916,18,9.74455
1916,19,11.45862
1916,20,13.63968
1916,21,11.50679
1916,22,11.77049
1916,23,11.01541
1916,24,9.83418
1916,25,9.80459
1916,26,8.74295
1916,27,7.86606
1916,28,7.04795
1916,29,6.06021
1916,30,5.70121
1916,31,4.91053
1916,32,4.09149
1916,33,3.65253
1916,34,3.38815
1916,35,2.81720
1916,36,2.65870
1916,37,2.65104
1916,38,2.23144
1916,39,2.01856
1916,40,1.90817
1916,41,1.86633
1916,42,1.64138
1916,43,1.55313
1916,44,1.49880
1916,45,1.51015
1916,46,1.45761
1916,47,1.40504
1916,48,1.39591
1916,49,1.31953
1916,50,1.38403
1916,51,1.39516
1916,52,1.35511
1916,53,1.40779
1916,54,1.35766
1916,55,1.44556
1916,56,1.37528
1916,57,1.36507
1916,58,1.37775
1916,59,1.38056
1916,60,1.39382
1916,61,1.38564
1916,62,1.39107
1916,63,1.39161
1916,64,1.36158
1916,65,1.36234
1916,66,1.34069
1916,67,1.31483
1916,68,1.31270
1916,69,1.37225
1916,70,1.31667
1916,71,1.27961
1916,72,1.26376
1916,73,1.28427
1916,74,1.26877
1916,75,1.21469
1916,76,1.29906
1916,77,1.27777
1916,78,1.21255
1916,79,1.25694
1916,80,1.25466
1916,81,1.20737
1916,82,1.21753
1916,83,1.18792
1916,84,1.19644
1916,85,1.25568
1916,86,1.15269
1916,87,1.17067
1916,88,1.24103
1916,89,1.16611
1916,90,1.18355
1916,91,1.30406
1916,92,1.26082
1916,93,1.03892
1916,94,1.20784
1916,95,1.11533
1916,96,1.26142
1916,97,0.72421
1916,98,0.98191
1916,99,1.10868
1916,100,0.66624
1917,0,1.28528
1917,1,1.09312
1917,2,1.07458
1917,3,1.00317
1917,4,1.00587
1917,5,1.04053
1917,6,1.05150
1917,7,0.96288
1917,8,1.09259
1917,9,1.02368
1917,10,1.06593
1917,11,1.10099
1917,12,0.96241
1917,13,0.92443
1917,14,0.86155
1917,15,0.97531
1917,16,1.86531
1917,17,6.00407
1917,18,11.58302
1917,19,13.40725
1917,20,15.05649
1917,21,14.43874
1917,22,15.52495
1917,23,13.90384
1917,24,13.80728
1917,25,12.46820
1917,26,11.87342
1917,27,11.22827
1917,28,10.26536
1917,29,8.58884
1917,30,7.87391
1917,31,7.06380
1917,32,5.69174
1917,33,5.14517
1917,34,4.59046
1917,35,4.10711
1917,36,3.53646
1917,37,3.14619
1917,38,2.86470
1917,39,2.63641
1917,40,2.31931
1917,41,2.12796
1917,42,1.90457
1917,43,1.80023
1917,44,1.63177
1917,45,1.67100
1917,46,1.54972
1917,47,1.41835
1917,48,1.43105
1917,49,1.41413
1917,50,1.47797
1917,51,1.46565
1917,52,1.38392
1917,53,1.38251
1917,54,1.40193
1917,55,1.46881
1917,56,1.41376
1917,57,1.44135
1917,58,1.41988
1917,59,1.36036
1917,60,1.51038
1917,61,1.41335
1917,62,1.43546
1917,63,1.40840
1917,64,1.39949
1917,65,1.37595
1917,66,1.41952
1917,67,1.39647
1917,68,1.32117
1917,69,1.46534
1917,70,1.42321
1917,71,1.41632
1917,72,1.38707
1917,73,1.36505
1917,74,1.27589
1917,75,1.26011
1917,76,1.24966
1917,77,1.28196
1917,78,1.25216
1917,79,1.30142
1917,80,1.26903
1917,81,1.32637
1917,82,1.35272
1917,83,1.24024
1917,84,1.25493
1917,85,1.19309
1917,86,1.27838
1917,87,1.19298
1917,88,1.23894
1917,89,1.19832
1917,90,1.28912
1917,91,1.19611
1917,92,1.21288
1917,93,1.24590
1917,94,1.35034
1917,95,1.29775
1917,96,1.31932
1917,97,0.72797
1917,98,1.39155
1917,99,0.90993
1917,100,1.08354
1918,0,1.27701
1918,1,1.02461
1918,2,0.99464
1918,3,0.93198
1918,4,0.94299
1918,5,0.94458
1918,6,0.93842
1918,7,0.96617
1918,8,0.87191
1918,9,0.99559
1918,10,0.93418
1918,11,0.93254
1918,12,0.88905
1918,13,0.79496
1918,14,0.84764
1918,15,0.87414
1918,16,1.30303
1918,17,2.92246
1918,18,5.55940
1918,19,7.21100
1918,20,7.27539
1918,21,7.00827
1918,22,7.23361
1918,23,6.84658
1918,24,6.25893
1918,25,5.61287
1918,26,5.17895
1918,27,4.83649
1918,28,4.62917
1918,29,4.33661
1918,30,3.93236
1918,31,3.87303
1918,32,3.37154
1918,33,3.30018
1918,34,3.08214
1918,35,2.92659
1918,36,2.75970
